x_1,x_2,Label
0.35567,-0.758299,I
-0.047806,-0.037586,A
-0.723154,0.31843,C
-0.253913,-0.119565,N
0.652597,0.607184,N
0.033031,0.185114,I
0.020121,0.035962,M
0.26481,0.092365,M
0.322768,0.04482,M
-0.202723,-0.104878,N
0.082928,-0.028894,C
-0.21371,0.35887,A
-0.202674,-0.056649,N
-0.309373,-0.389608,C
0.256006,-0.67032,M
-0.515219,-0.707694,M
-0.136454,-0.043528,A
0.471536,-0.226478,I
-0.155259,0.007305,A
0.201911,0.57426,A
-0.111257,-0.026731,A
-0.673177,-0.16346,C
0.553529,-0.468445,I
-0.27089,0.527194,N
0.588832,-0.108361,I
0.640915,0.43064,A
-0.041015,0.617764,A
-0.002428,0.00846,M
-0.360466,0.057815,N
0.046558,-0.389103,C
0.043545,0.567044,A
0.055133,-0.219837,C
0.492611,0.54407,A
0.259497,0.060486,M
0.214995,-0.56949,M
-0.497975,0.718472,C
0.021199,-0.353436,C
-0.65482,0.519987,C
-0.444938,0.341544,N
-0.223097,-0.394359,C
0.007836,0.056066,M
0.879016,-0.079198,A
-0.008476,-0.89974,I
0.623921,0.54124,A
-0.398232,0.090029,N
0.007914,0.050797,M
-0.795487,0.020802,C
0.879247,0.159399,A
0.229243,0.108096,M
0.418927,-0.839239,I
-0.184407,0.037781,A
0.292747,0.098461,M
-0.20149,0.254576,A
-0.089652,0.714542,N
0.566901,0.120257,I
-0.489034,0.86216,C
0.434369,-0.273127,M
0.008369,0.612665,A
-0.414237,0.114932,N
-0.035091,-0.056857,N
0.609679,0.658742,N
-0.330641,-0.910199,I
0.331164,0.753611,N
0.649831,0.493804,A
0.726211,0.426457,A
-0.021884,-0.041379,N
0.046215,-0.976903,I
0.693393,0.398525,A
0.138888,-0.174269,C
0.446712,-0.317604,M
0.323834,0.740225,N
0.608405,0.717583,N
0.30179,0.62821,A
0.096582,-0.721308,M
0.13037,-0.131873,C
-0.263306,0.597485,N
0.463132,-0.113743,M
0.014884,-0.789818,M
0.473594,-0.340196,M
-0.223757,-0.103296,N
-0.138875,0.020828,A
0.416593,0.63272,A
0.561994,-0.567609,I
-0.003861,0.093539,I
0.552946,-0.096553,I
-0.249954,-0.412472,C
0.728464,0.602892,N
0.000259,0.075815,I
0.416852,-0.268239,M
-0.486313,-0.317747,C
-0.27376,0.382403,A
0.038276,-0.031875,C
-0.234121,0.379009,A
0.074878,-0.125836,C
-0.381682,0.021304,N
0.073983,0.113194,M
0.345571,-0.631813,I
-0.756929,0.30579,C
-0.019784,0.045058,M
-0.122101,0.591653,N
-0.132874,-0.09203,N
0.134247,-0.225287,C
-0.430196,-0.788681,M
-0.714736,0.134846,C
-0.233808,0.228418,A
0.441188,-0.254043,M
0.598628,-0.076693,I
0.532709,-0.259421,M
0.175435,0.586653,A
0.636309,-0.101341,I
0.002518,0.557106,A
0.624255,-0.212809,I
0.032414,0.106812,M
-0.381193,-0.423667,C
0.070549,0.12991,M
0.471234,0.422234,A
0.372761,-0.631311,I
-0.112109,-0.39841,C
0.535854,0.614289,A
0.570167,-0.319394,I
-0.389535,0.024075,N
0.121538,-0.860028,M
-0.240669,0.43221,A
-0.22078,0.299492,A
-0.093421,-0.443764,C
0.229647,0.121595,M
-0.04797,-0.382077,C
0.27406,0.714817,N
-0.38214,-0.423622,C
0.538134,0.579132,A
-0.126612,-0.078987,N
0.383119,0.628127,A
0.536521,-0.062141,I
-0.708371,0.447287,C
0.47171,0.071482,I
-0.029868,0.070771,I
0.059974,-0.106957,C
-0.038168,-0.064114,A
0.528563,-0.069452,M
-0.499936,-0.205985,C
0.187809,0.187032,M
0.06638,-0.080088,C
-0.699588,0.022193,C
0.618092,0.60681,N
-0.118529,0.630687,N
0.328785,-0.076942,M
0.174361,0.135538,M
-0.026531,-0.011219,A
0.965231,-0.11781,A
0.922828,0.254173,A
-0.255622,-0.807264,M
-0.618975,-0.217062,C
0.117649,-0.210387,C
-0.341623,0.423495,N
0.102828,-0.250792,C
-0.408584,0.298998,N
0.259454,0.693183,N
-0.786723,0.232517,C
0.295654,-0.712444,I
-0.135675,-0.310303,C
0.090313,0.261499,I
-0.463729,-0.387192,C
0.04793,0.121945,M
-0.276991,-0.024304,N
0.315108,-0.711282,I
0.413254,0.146604,I
-0.411749,0.300431,N
-0.046229,-0.041333,N
0.301656,-0.560509,M
0.049781,0.142378,I
0.044446,-0.01531,C
0.325365,0.029113,M
-0.246078,0.387571,A
0.076124,0.749696,N
0.142543,-0.767634,M
0.041635,0.168775,I
-0.210383,-0.083764,N
0.509788,-0.244325,M
0.123712,-0.071782,C
-0.437831,-0.794761,M
0.142123,0.575221,A
-0.010308,-0.019892,N
-0.235737,-0.103982,N
-0.027758,0.036693,I
-0.225441,-0.001327,A
0.021181,0.107352,M
0.140612,0.572915,A
-0.076949,0.508109,A
-0.755034,0.032914,C
0.238257,0.152079,M
0.080347,-0.043187,C
0.378348,0.134908,I
-0.358673,0.815814,C
0.428453,-0.128437,M
-0.309577,0.384578,A
-0.118236,-0.819682,M
-0.298106,-0.934815,I
0.453151,0.614795,N
0.050745,0.279081,I
-0.26303,-0.82023,M
-0.834357,0.358668,C
-0.065479,0.385963,A
0.0234,-0.338059,C
0.870117,0.221955,A
0.259773,0.218221,I
0.084226,0.757887,N
-0.882004,-0.468689,M
0.019554,0.087049,M
0.076917,0.097548,M
-0.234882,0.096283,A
-0.044706,-0.007961,A
-0.02206,-0.336946,C
-0.064581,-0.013676,A
0.064609,0.192487,I
-0.111296,-0.103275,N
0.050473,0.564863,A
0.312428,0.177788,M
-0.085643,-0.020308,A
-0.028416,0.039931,I
-0.244763,0.230871,A
0.116822,0.169722,I
-0.317749,0.411251,N
-0.61755,-0.259183,C
0.832616,0.327143,A
-0.557273,-0.685162,M
-0.084458,0.580607,A
0.463207,-0.364651,M
-0.073887,-0.022426,A
-0.175434,0.516107,N
0.494278,-0.120279,M
0.487396,-0.510684,I
-0.098026,-0.04907,A
0.014424,0.040093,M
-0.055467,-0.300993,C
-0.814541,-0.139291,C
0.003328,0.020941,M
0.518678,0.108507,I
-0.284689,-0.386829,C
0.635927,0.443241,A
0.065531,-0.223643,C
-0.178308,0.06688,A
0.444016,-0.669986,I
0.116326,-0.111354,C
0.114665,-0.191547,C
0.071785,0.100402,M
0.045295,0.128264,M
0.499228,0.01647,I
-0.254797,0.338007,A
0.42208,-0.707183,I
0.620334,-0.302449,I
0.469482,0.671279,N
0.31576,-0.718647,I
-0.16831,0.476871,A
0.48989,-0.260641,M
0.276524,0.11803,M
-0.741233,0.05332,C
0.587259,-0.271376,I
-0.729054,-0.111607,C
-0.412358,-0.317297,C
-0.173096,0.235236,A
-0.517489,-0.381526,C
-0.010577,0.152063,I
-0.026684,-0.036246,N
0.948815,0.148673,A
-0.777131,0.213636,C
-0.574976,0.75019,C
0.013,-0.934497,I
0.084982,-0.123641,C
0.471429,-0.387933,I
0.441232,-0.673497,I
-0.034048,0.076371,I
-0.556568,0.691651,C
-0.269639,-0.1357,N
-0.390628,-0.389607,C
0.162539,-0.17719,C
-0.61438,-0.648861,M
-0.832719,-0.443778,M
0.61826,0.616028,N
0.707923,0.427066,A
0.279801,0.573291,A
-0.02803,-0.017046,A
-0.334007,-0.040617,N
0.008402,0.112108,I
0.526993,-0.523406,I
-0.240969,-0.851123,M
0.498907,-0.232708,M
0.597211,-0.13245,I
-0.546631,-0.362185,C
0.457909,-0.512862,I
0.91232,-0.380265,A
0.36654,-0.459925,M
0.282382,-0.537906,M
-0.202739,0.232211,A
-0.402647,0.152296,N
-0.717962,0.334732,C
-0.068832,-0.022495,A
0.450139,0.539648,A
0.393497,-0.552293,M
0.180557,0.217991,I
0.000599,0.000036,C
0.338474,0.182368,I
-0.058681,0.443625,A
0.792568,0.557829,N
-0.790881,0.287655,C
0.569357,0.612106,A
0.025256,0.18068,I
-0.166813,-0.80016,M
-0.000095,0.003199,M
0.095645,-0.071179,C
-0.143555,-0.041487,A
0.722431,0.392908,A
-0.674908,-0.094822,C
0.4386,0.521653,A
0.263877,0.847235,N
-0.77112,0.167763,C
0.106666,-0.212141,C
-0.016905,0.105678,I
0.880979,0.309571,N
0.189248,-0.883131,I
0.472638,0.728244,N
-0.244846,-0.001294,A
0.550195,0.573245,A
-0.835674,0.272483,C
0.659286,0.583743,N
-0.343876,0.070706,N
-0.109977,0.595654,A
-0.128441,0.609539,N
-0.642848,-0.177614,C
0.541805,0.12354,I
0.494778,0.043647,I
-0.699227,0.281465,C
0.071231,0.675792,A
0.097765,0.603252,A
0.39568,-0.028139,M
0.219171,0.09889,M
-0.730654,-0.067297,C
-0.159478,-0.081806,N
-0.404721,0.365462,N
0.46456,-0.302399,M
0.181713,0.605028,A
0.096777,0.157946,M
0.291926,0.742213,N
-0.046797,-0.086354,N
0.422367,0.227409,I
-0.709026,0.262192,C
0.956603,0.107219,A
-0.654994,0.664415,C
-0.354014,-0.385929,C
-0.614102,-0.204095,C
0.002876,0.039704,M
0.069793,0.763169,N
-0.037152,-0.061224,N
-0.247204,0.004721,A
-0.177908,-0.006737,A
0.061754,0.61684,A
0.019938,0.201858,I
0.334768,0.039308,M
-0.745517,0.055084,C
0.639959,-0.264693,I
-0.007868,-0.039227,N
-0.346729,0.229647,N
-0.069331,-0.024745,A
-0.010644,-0.029973,N
-0.273425,0.076987,A
-0.267461,0.455136,A
-0.057045,-0.057809,N
0.099844,-0.889996,I
-0.421615,-0.39115,C
0.526031,-0.282565,I
0.006132,0.031617,M
0.01466,-0.350764,C
0.100734,0.180196,M
0.534789,-0.454048,I
-0.193915,0.364739,A
-0.076457,-0.030771,A
-0.716577,-0.071584,C
-0.021181,0.050553,I
0.944731,0.322932,N
0.009057,-0.886131,I
-0.432721,0.260538,N
0.109825,0.088792,M
0.116064,-0.804029,I
0.928937,-0.249241,A
0.084875,0.107831,M
-0.280476,0.295592,A
-0.657865,0.586848,C
0.415155,-0.724442,I
0.180591,-0.28721,C
-0.247794,0.423536,A
-0.359494,-0.020388,N
-0.058955,-0.078058,N
0.506619,-0.091991,I
0.560874,0.676511,N
0.027487,-0.877345,I
0.069585,-0.261142,C
0.149195,-0.740878,M
0.001532,0.017738,M
0.891671,0.380835,N
-0.000721,0.017989,M
0.112601,0.756418,N
-0.003003,-0.006545,N
0.388795,-0.458458,M
0.124967,-0.096406,C
0.127247,-0.113985,C
-0.208688,-0.116589,N
-0.355371,0.056741,N
0.027835,0.060519,M
-0.127133,-0.023166,A
0.796911,0.543482,N
0.626817,-0.342199,I
0.098868,-0.282456,C
-0.57051,-0.771331,M
0.315999,-0.734466,I
0.525448,-0.538736,I
-0.172985,-0.079642,N
-0.228262,0.416667,A
0.952465,0.082033,A
0.063002,-0.040349,C
0.090631,-0.228965,C
0.56043,0.743908,N
0.355882,-0.73893,I
-0.575211,0.75781,C
-0.716162,0.652733,C
-0.659887,-0.731009,M
0.095481,-0.074039,C
0.510181,-0.58439,I
0.534335,0.686796,A
-0.000208,0.006798,M
0.290005,0.043565,M
-0.092615,-0.074441,N
-0.148102,0.643715,N
0.048162,0.133401,M
-0.172384,0.556425,N
0.15972,0.243798,I
0.407505,0.151303,I
0.614432,0.448912,A
-0.408399,0.497073,N
-0.046286,-0.050107,N
-0.350131,0.123503,N
-0.024235,0.072048,I
-0.286083,0.281679,A
0.502111,-0.548949,I
-0.517156,-0.827481,M
-0.816691,0.270021,C
0.004861,-0.001849,C
-0.257145,0.176096,A
-0.034561,-0.944957,I
-0.006998,-0.009751,A
-0.622262,0.625602,C
0.859631,0.102943,A
0.026877,0.167491,I
-0.222099,-0.027904,N
0.157613,-0.209355,C
-0.114798,0.569052,A
0.069829,0.189803,I
0.354666,0.576823,A
-0.035568,-0.036843,N
-0.270098,0.362786,A
0.971489,0.144636,A
0.291844,0.567481,A
-0.135789,-0.369732,C
0.557482,0.400683,A
-0.005808,0.708118,N
-0.142065,-0.041596,N
-0.722239,0.298666,C
-0.168916,-0.369282,C
0.230854,-0.867177,I
-0.258017,-0.036971,N
0.582797,0.060382,I
0.051332,-0.022906,C
0.931001,-0.063829,A
-0.180501,-0.907611,I
0.356371,0.13554,I
-0.748856,0.095737,C
0.030362,0.09614,M
0.587969,-0.036771,I
-0.199623,0.088211,A
0.07718,0.72505,N
-0.277007,0.228473,A
0.032055,0.169429,I
0.071894,-0.749711,M
0.084052,-0.081135,C
0.553458,-0.24217,I
-0.277136,0.278477,A
-0.006948,-0.317588,C
0.759705,0.564023,N
-0.348453,0.505695,N
-0.730986,0.461302,C
0.305952,-0.624857,M
-0.417469,0.333151,N
-0.49704,-0.755311,M
-0.290429,-0.841256,M
0.116156,0.266003,I
-0.100732,-0.479634,C
0.119261,0.153821,M
0.073478,0.60951,N
0.09887,0.601855,A
0.568999,0.041553,I
0.746773,0.376173,A
-0.425532,0.231227,N
-0.462426,0.108106,N
-0.080255,0.536539,N
0.465544,-0.281257,M
0.377356,-0.026356,M
-0.281072,0.378557,A
-0.095361,-0.03845,A
0.105284,0.10491,M
-0.768971,0.245342,C
0.011089,0.042175,M
-0.21901,0.212647,A
0.009797,-0.000317,C
0.37579,-0.417496,M
0.510441,0.201326,I
-0.362405,0.41413,N
0.115947,-0.831321,I
0.045542,0.500031,A
-0.327267,0.428408,N
-0.022236,0.041645,I
-0.685811,0.34601,C
-0.091222,-0.096547,N
0.430528,0.799423,N
-0.161633,-0.391426,C
0.75607,0.367305,A
-0.093049,0.495235,A
-0.477342,-0.691395,M
0.217087,0.218857,I
0.3266,-0.575289,M
-0.762777,0.023942,C
0.102328,0.268627,I
0.071487,0.087543,M
-0.821841,0.289603,C
0.405401,-0.533098,M
-0.573863,-0.3218,C
-0.225673,0.016081,A
0.53006,-0.177252,M
0.860987,0.145381,A
-0.011659,0.035334,I
0.921523,0.129558,A
-0.096223,0.715907,N
0.298881,-0.687165,M
-0.407106,-0.341085,C
0.119508,0.166366,M
0.142436,-0.222104,C
0.336691,-0.575244,M
0.129575,-0.10091,C
-0.650516,-0.622216,M
0.075196,-0.038802,C
0.009714,0.030287,M
0.428148,-0.325298,M
-0.104589,0.447636,A
-0.155748,-0.104285,N
0.901085,-0.013092,A
0.466571,0.124501,I
-0.329613,0.156484,A
0.014327,0.717,N
-0.229673,0.598364,N
0.267365,0.1229,M
0.041451,0.258956,I
0.414419,0.204417,I
0.128871,-0.193932,C
0.195057,0.171382,M
0.534353,-0.327493,I
0.115831,0.694548,N
0.196466,0.248858,I
0.061291,-0.123003,C
0.382726,0.113074,M
0.416598,-0.701367,I
-0.213323,0.351634,A
-0.372596,-0.311567,C
-0.304783,0.006904,N
0.985065,-0.016153,A
0.131537,0.15781,I
0.174233,0.059885,M
0.875455,0.171934,A
0.630525,0.558891,A
-0.329951,-0.875047,I
0.013345,-0.317784,C
-0.157588,-0.062239,A
-0.567247,-0.339208,C
-0.816944,-0.048179,C
0.285996,0.16756,I
0.463158,-0.298676,I
-0.226476,0.096681,A
0.332579,0.049669,M
0.594044,-0.269045,I
0.868279,0.198938,A
-0.387674,0.02792,N
-0.128252,0.48234,A
-0.327636,-0.42333,C
0.271772,0.75812,N
0.099916,-0.043618,C
0.293216,0.8061,N
-0.390278,0.908735,C
0.122477,-0.080619,C
-0.299454,0.105406,A
-0.407696,-0.374081,C
0.048933,0.081917,M
-0.313881,0.225485,N
0.129852,0.227618,I
0.060991,0.159576,M
-0.28622,0.381954,A
0.616228,0.579592,A
0.337999,-0.697583,I
0.02372,-0.259771,C
0.019334,-0.660249,M
0.200315,0.823558,N
-0.140392,-0.081299,N
-0.260625,0.197601,A
-0.261497,-0.837291,M
0.41743,-0.538237,I
0.369369,0.09454,M
0.580971,-0.149589,I
0.043178,-0.032114,C
-0.533166,-0.708846,M
-0.671349,-0.227168,C
0.356221,-0.608084,M
-0.456696,-0.383439,C
0.505599,-0.273252,M
-0.609027,-0.281017,C
0.875402,0.446722,N
0.704364,0.545958,N
0.242224,0.202101,I
0.004884,0.016495,M
0.451333,-0.337075,M
0.276491,0.666901,A
-0.016241,-0.259745,C
0.110523,-0.124438,C
0.01622,0.600301,A
0.277743,-0.612724,M
0.581675,-0.256025,I
-0.642314,-0.068244,C
0.333693,-0.498792,M
0.483593,0.114222,I
-0.249459,0.144039,A
-0.537778,0.805345,C
-0.287329,0.191087,A
-0.503169,0.140825,N
-0.743008,0.041198,C
0.275362,0.667151,A
0.458938,-0.240001,I
-0.359168,-0.927483,I
-0.030328,-0.332888,C
-0.148571,-0.413826,C
0.440312,0.232442,I
0.207375,0.657196,A
0.430499,-0.072052,M
0.282664,-0.627622,M
-0.853411,0.088349,C
0.427864,0.144764,I
-0.218963,0.214986,A
-0.106318,-0.012254,A
0.45485,0.63925,A
0.009705,-0.775694,M
-0.791451,0.277736,C
-0.104279,-0.079664,N
0.837157,0.427488,N
0.330468,-0.509301,M
-0.287583,-0.040769,N
0.379832,0.620289,A
0.220901,0.728183,N
-0.829109,0.211951,C
-0.681827,-0.315181,C
-0.605949,-0.712058,M
-0.512146,-0.767137,M
-0.113237,-0.0635,A
-0.389946,0.04271,N
0.364616,0.21223,I
0.492365,0.055641,I
0.276166,0.666602,N
-0.0172,0.613682,A
-0.290731,0.020572,N
0.255978,-0.801904,I
0.725891,0.393662,A
-0.428661,0.315932,N
-0.368481,0.245707,N
0.346651,-0.616346,M
-0.009672,0.506609,A
-0.11679,0.662316,N
-0.256777,0.197039,A
0.12664,0.157168,M
-0.70126,-0.64885,M
0.099496,0.157669,M
0.063083,-0.267929,C
0.539869,-0.568996,I
-0.017522,0.59306,A
-0.335441,0.104931,N
0.473605,-0.491482,I
-0.135431,-0.087857,N
0.0107,0.135004,I
0.036879,-0.024015,C
-0.144243,-0.390708,C
-0.703537,-0.657857,M
0.523535,0.606439,A
-0.054256,-0.896539,I
0.426661,-0.52426,I
0.623365,-0.07038,I
-0.081226,-0.068139,A
0.078304,-0.243154,C
0.061427,0.261331,I
0.123517,0.088639,M
0.40456,-0.682458,I
-0.282972,-0.354885,C
0.506231,-0.6491,I
0.038625,0.105153,M
0.163167,0.170849,M
0.389186,0.008437,M
0.21984,-0.734144,M
-0.129608,0.713062,N
0.685935,0.592164,N
0.65835,-0.192574,I
0.182558,-0.925964,I
-0.544597,0.646839,C
0.006394,0.1557,I
-0.103979,-0.404741,C
-0.21947,0.415265,A
0.259785,0.669509,N
0.490258,0.074585,I
0.738581,0.346364,A
0.428693,0.211203,I
-0.807854,0.304039,C
0.5188,0.134324,I
0.314965,-0.682367,M
-0.846496,0.426766,C
0.364079,0.671162,N
-0.321778,0.450615,N
0.229036,0.121893,M
0.272781,0.043676,M
-0.587749,-0.247998,C
-0.333166,0.304406,N
0.398886,0.114096,I
0.051361,0.166702,I
-0.56639,-0.282935,C
-0.719627,0.606297,C
-0.1802,-0.389413,C
0.389712,0.173738,I
0.125499,-0.657667,M
0.020056,0.073944,M
-0.753816,0.319586,C
-0.426771,-0.759251,M
-0.010113,0.080584,I
-0.49565,0.858143,C
0.362065,0.807742,N
0.091492,0.125898,M
0.944391,0.097293,A
0.200049,-0.741647,M
-0.161101,-0.948407,I
-0.032551,-0.050655,N
-0.298479,-0.443405,C
-0.313393,-0.385351,C
-0.412904,-0.382303,C
0.391745,-0.029828,M
0.183992,0.173145,I
-0.529179,-0.338767,C
0.21149,0.241566,I
-0.731928,0.199205,C
-0.40986,0.367527,N
0.689032,0.46053,A
-0.062812,-0.968961,I
0.007507,-0.002124,C
-0.034007,-0.844685,M
-0.165292,0.671082,N
0.131389,-0.086727,C
0.267913,0.058635,M
-0.144633,-0.048758,A
0.14307,-0.169546,C
-0.157373,0.619037,N
-0.219227,0.056717,A
-0.039391,0.712254,N
0.434313,-0.133237,M
-0.804401,0.120404,C
-0.531891,-0.796287,M
-0.327564,0.486764,N
-0.293497,0.187858,A
0.13931,0.248697,I
-0.030869,-0.046737,N
-0.012519,0.157736,I
-0.804548,0.040382,C
0.458972,0.044172,I
-0.093721,0.524804,A
-0.053147,-0.023254,A
-0.344603,0.432899,N
0.709651,0.4627,A
0.907971,-0.004409,A
0.042395,0.169823,I
-0.158252,-0.117727,N
0.001234,0.070603,M
-0.356034,-0.773131,M
-0.710182,0.643251,C
0.628982,-0.356819,I
0.85863,0.361396,N
0.099248,0.183525,M
-0.340467,0.524751,N
-0.029136,-0.05315,N
0.055005,-0.698779,M
0.397833,-0.189565,M
-0.148659,-0.842557,M
0.068841,-0.678654,M
-0.120221,-0.830714,M
-0.069259,-0.896709,I
0.312255,0.639811,A
-0.31681,0.464329,N
0.045748,0.200488,I
-0.625387,-0.720144,M
0.103033,0.131978,M
0.822333,0.227308,A
0.221631,0.13832,M
0.383733,0.045974,M
0.273265,-0.623044,M
-0.032851,-0.021767,A
0.285813,-0.573449,M
0.608613,0.489689,A
-0.044241,-0.063528,N
0.182996,0.228901,I
-0.116884,0.586384,A
-0.357098,0.373171,N
0.42676,0.546184,A
-0.669795,-0.286115,C
-0.032631,-0.061039,N
0.53386,-0.281909,I
-0.014972,0.528093,A
-0.361044,-0.841174,M
0.933204,0.16333,A
0.459234,0.781893,N
-0.194031,-0.097261,N
-0.012169,0.016626,I
0.58854,0.462221,A
0.088617,-0.338668,C
0.021303,-0.010623,C
0.009935,0.086247,M
-0.001143,0.503499,A
-0.036221,-0.423941,C
-0.354851,-0.339786,C
-0.449702,-0.751965,M
0.010417,-0.395542,C
0.343915,-0.479051,M
0.435313,-0.109565,M
0.002031,0.018493,M
0.183852,-0.73016,M
-0.285338,0.396746,N
-0.291694,0.25899,A
0.540202,-0.250173,I
0.771573,0.625077,N
0.651505,0.533656,N
-0.665039,0.606372,C
-0.16724,-0.081033,N
-0.101131,-0.384812,C
0.448829,0.716617,N
0.108838,-0.196062,C
0.028143,0.067373,M
-0.134432,0.460891,A
0.483612,0.009046,M
0.087427,0.677721,A
0.116503,0.142983,I
0.051042,-0.777683,M
-0.299516,0.037548,A
-0.656204,0.617675,C
-0.016254,-0.007742,A
0.063401,0.152152,M
-0.017561,0.583252,A
0.173065,0.833594,N
-0.055025,0.520203,A
-0.357647,-0.027099,N
-0.154478,-0.036062,N
0.703925,0.485952,N
0.686476,0.381492,A
0.649016,0.427491,A
0.924423,0.361515,A
-0.051062,-0.024444,A
0.119393,-0.700845,M
0.883694,0.127035,A
0.026431,0.521635,A
-0.36246,0.263112,N
-0.57985,-0.776352,M
-0.340466,-0.001056,N
0.073262,0.712788,N
-0.650492,-0.215111,C
0.815408,0.306114,A
-0.206877,0.083905,A
0.387636,-0.219949,M
-0.276163,0.038661,N
0.941006,-0.018541,A
0.567055,-0.165518,I
-0.331633,0.096076,N
-0.206046,0.050072,A
-0.664352,-0.263075,C
0.868056,0.495257,N
-0.233752,0.178741,A
-0.002765,0.056744,M
-0.029557,0.098898,I
-0.733169,0.128522,C
0.978925,-0.011798,A
-0.388533,-0.369105,C
-0.469498,-0.237842,C
0.354587,0.103821,M
-0.123227,-0.430604,C
0.364467,-0.404811,M
-0.659209,0.578385,C
0.048996,-0.181957,C
-0.65604,-0.677655,M
0.140869,0.131691,M
0.69071,0.468781,A
-0.770222,0.014239,C
-0.314354,0.162063,A
-0.759537,-0.149732,C
-0.307222,0.225125,A
-0.317228,0.22871,N
0.009548,0.203817,I
0.311532,0.111446,M
-0.385609,0.110321,N
0.076949,-0.292715,C
0.411747,-0.132975,M
0.107204,0.814136,N
-0.00002,0.000199,M
-0.001038,-0.003448,N
0.342024,-0.072721,M
-0.21757,0.333124,A
0.30469,0.617676,A
-0.482747,-0.840643,M
0.212514,0.273133,I
-0.253709,0.537445,N
0.0055,-0.343825,C
0.390983,-0.528161,M
-0.195367,0.55896,N
0.158456,0.713359,N
0.294173,0.218552,I
-0.065988,0.674515,N
0.019969,0.627008,A
-0.203505,0.163506,A
-0.171091,0.107462,A
0.028375,0.095076,M
0.08357,0.767417,N
0.618917,-0.273207,I
0.020389,0.506091,A
0.578185,-0.044772,I
0.214521,0.296138,I
-0.593997,-0.733678,M
-0.209476,-0.063343,N
-0.293226,0.100166,N
-0.002481,-0.003139,N
0.050778,-0.833822,M
-0.275449,-0.434558,C
-0.244849,-0.822501,M
0.201874,0.737005,N
-0.034082,-0.412879,C
0.264172,-0.825326,I
-0.007872,0.082442,I
0.924694,0.089199,A
0.413943,-0.057256,M
0.443112,0.610736,A
0.025542,-0.269245,C
0.305732,0.220712,I
0.579408,-0.173827,I
0.576323,-0.234288,I
0.137377,-0.089268,C
-0.151837,-0.149441,N
0.035491,0.113819,M
0.597284,-0.209399,I
0.179483,0.734541,N
-0.186361,-0.034004,A
0.492898,0.603695,A
-0.164283,-0.061551,N
0.10345,-0.225888,C
-0.193865,-0.113498,N
-0.080923,-0.147721,N
-0.245136,0.383427,N
-0.356962,0.358771,N
-0.225493,-0.852871,M
-0.227321,-0.417182,C
